hgnc_id,gene,pubmed_hits,pubmed_query,as_of
HGNC:1962,CHRNB2,115,"(""CHRNB2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14214,CIC,3455,"(""CIC""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2021,CLCN3,48,"(""CLCN3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2022,CLCN4,37,"(""CLCN4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2024,CLCN6,37,"(""CLCN6""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2047,CLDN5,167,"(""CLDN5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2074,CLN3,455,"(""CLN3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2076,CLN5,159,"(""CLN5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2077,CLN6,135,"(""CLN6""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2079,CLN8,106,"(""CLN8""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:30664,CLPB,156,"(""CLPB""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2092,CLTC,164,"(""CLTC""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19701,CNKSR2,34,"(""CNKSR2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:103,CNNM2,74,"(""CNNM2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:7879,CNOT3,58,"(""CNOT3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:10445,CNOT9,9,"(""CNOT9""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:11968,CNPY3,15,"(""CNPY3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:8011,CNTNAP1,38,"(""CNTNAP1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13830,CNTNAP2,262,"(""CNTNAP2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18620,COG4,35,"(""COG4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18621,COG6,50,"(""COG6""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18622,COG7,37,"(""COG7""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18623,COG8,34,"(""COG8""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2195,COL18A1,180,"(""COL18A1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2201,COL3A1,1188,"(""COL3A1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2202,COL4A1,635,"(""COL4A1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2203,COL4A2,323,"(""COL4A2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:25223,COQ2,132,"(""COQ2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19693,COQ4,48,"(""COQ4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:20233,COQ6,48,"(""COQ6""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:16812,COQ8A,25,"(""COQ8A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:25302,COQ9,68,"(""COQ9""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2260,COX10,81,"(""COX10""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2263,COX15,41,"(""COX15""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2295,CP,38028,"(""CP""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2309,CPLX1,41,"(""CPLX1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2326,CPSF3,32,"(""CPSF3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2330,CPT2,286,"(""CPT2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2340,CRADD,53,"(""CRADD""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2348,CREBBP,854,"(""CREBBP""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14630,CRELD1,41,"(""CRELD1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:15762,CRNKL1,10,"(""CRNKL1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:37276,CRPPA,7,"(""CRPPA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2433,CSF1R,1438,"(""CSF1R""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2453,CSNK1E,86,"(""CSNK1E""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2457,CSNK2A1,120,"(""CSNK2A1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
