gene,platform,registry_name,registry_url,platform_basis,notes,platform_url
CSNK2A1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
CSNK2A1,Sanford CoRDS,,,platform description,recorded under: Okur-Chung neurodevelopmental syndrome,https://research.sanfordhealth.org/rare-disease-registry
DDX3X,Foundation-hosted,DDX3X Foundation registry,https://ddx3x.org/registry/,own website,,
DDX3X,Citizen Health,,,platform description,,https://www.citizen.health/
DDX3X,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
DDX3X,Sanford CoRDS,,,platform description,recorded under: DDX3X syndrome,https://research.sanfordhealth.org/rare-disease-registry
EHMT1,Foundation-hosted,IDefine registry,,platform description,,
EHMT1,RARE-X,,,platform description,,https://globalgenes.org/rare-x/
EHMT1,Citizen Health,,,platform description,,https://www.citizen.health/
EHMT1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
EHMT1,Sanford CoRDS,,,platform description,recorded under: Kleefstra syndrome,https://research.sanfordhealth.org/rare-disease-registry
FOXG1,Foundation-hosted,FRF NH/registry program,https://www.foxg1research.org/,own website,,
FOXG1,Sanford CoRDS,,,platform description,recorded under: FOXG1 syndrome,https://research.sanfordhealth.org/rare-disease-registry
FOXP1,Foundation-hosted,International FOXP1 Foundation,,platform description,,
FOXP1,REDCap,Mt Sinai Seaver Center,,platform description,,
FOXP1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
FOXP1,Sanford CoRDS,,,platform description,recorded under: FOXP1 syndrome,https://research.sanfordhealth.org/rare-disease-registry
GNAO1,Foundation-hosted,"GNAO1 International Patient Registry (Bow Foundation, hosted via Invitae PIN)",https://gnao1.org/gnao1-international-patient-registry/,own website,,
GNAO1,Pulse Infoframe,"Invitae Patient Insight Network, hosting Bow Foundation registry",,platform description,,https://pulseinfoframe.com/
GNAO1,ClinicalTrials.gov,"NCT04950946, UVA",,platform description,,
GNAO1,Sanford CoRDS,,,platform description,recorded under: GNAO1-related neurodevelopmental disorder,https://research.sanfordhealth.org/rare-disease-registry
GRIN1,Foundation-hosted,CureGRIN registry; Combined Brain partnership,https://curegrin.org/gri-registry/,own website,,
GRIN1,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
GRIN1,REDCap,Childrens Colorado GRI Center,,platform description,,
GRIN1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
GRIN2A,Foundation-hosted,CureGRIN registry; Combined Brain partnership,https://curegrin.org/gri-registry/,own website,,
GRIN2A,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
GRIN2A,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
GRIN2A,Sanford CoRDS,,,platform description,recorded under: Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,https://research.sanfordhealth.org/rare-disease-registry
GRIN2B,Foundation-hosted,GRIN2B Foundation registry,https://grin2b.com/register/,own website,,
GRIN2B,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
GRIN2B,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
GRIN2B,Sanford CoRDS,,,CoRDS field,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
KCNB1,Foundation-hosted,KCNB1 Foundation registry,,platform description,,
KCNB1,Citizen Health,,,platform description,,https://www.citizen.health/
KCNB1,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
KCNB1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
KCNB1,Sanford CoRDS,,,platform description,recorded under: KCNB1 encephalopathy,https://research.sanfordhealth.org/rare-disease-registry
MECP2,Foundation-hosted,Rett Syndrome NH Study (US); multiple,https://www.interrett.com.au/,own website,,
MECP2,NIH RDCRN,Rett Syndrome Natural History Study,,platform description,,https://www.rarediseasesnetwork.org/
MECP2,REDCap,"InterRett, Telethon Kids/U Western Australia",,platform description,,
MECP2,ClinicalTrials.gov,,,platform description,,
MECP2,Sanford CoRDS,,,platform description,recorded under: MECP2 Duplication; MECP2 duplication syndrome,https://research.sanfordhealth.org/rare-disease-registry
MED13L,Foundation-hosted,MED13L Foundation registry,https://med13l.org/research-hub/join-med13l-research-opportunities/,own website,,
MED13L,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
MED13L,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
MED13L,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
MEF2C,Simons Searchlight,MEF2C Foundation registry; SFARI Base,https://www.usmef2cfoundation.org/joinsimonssearchlight,registry URL host,,https://www.simonssearchlight.org/
