# One row per (organisation, gene) from the organisation sources, deduplicated on normalised website host.
# status=candidate throughout: nothing here has been reviewed, and curated/organizations.csv is untouched.
org_name,symbol,hgnc_id,url,country,org_type,registry_platform,coalitions,source_files,status
CFC International,MAP2K2,HGNC:6842,https://www.cfcsyndrome.org,US,foundation,,REN,rela_2019.csv,candidate
CFC International Cardio-Facio-Cutaneous Syndrome,BRAF,HGNC:1097,,,,,,sources/ren_members/ren_members.csv,candidate
CFC International Cardio-Facio-Cutaneous Syndrome,KRAS,HGNC:6407,,,,,,sources/ren_members/ren_members.csv,candidate
CFC International Cardio-Facio-Cutaneous Syndrome,MAP2K1,HGNC:6840,,,,,,sources/ren_members/ren_members.csv,candidate
CFC International Cardio-Facio-Cutaneous Syndrome,MAP2K2,HGNC:6842,,,,,,sources/ren_members/ren_members.csv,candidate
CFC registry (Citizen Health),CFC,,https://www.citizen.health/ai-advocate/cfc-international,,,,,citizen_registry.csv,candidate
CHAMP1 Research Foundation,CHAMP1,HGNC:20311,,,,,,sources/ren_members/ren_members.csv,candidate
CHAMP1 Research Foundation,CHAMP1,HGNC:20311,https://champ1foundation.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
CHD2 registry (Citizen Health),CHD2,HGNC:1917,https://www.citizen.health/ai-advocate/ccc,,,,,citizen_registry.csv,candidate
CHD3 Families (Snijders Blok Campeau Syndrome),CHD3,HGNC:1918,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CHF,NALCN,HGNC:19082,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CLN2 registry (Citizen Health),CLN2,,https://www.citizen.health/ai-advocate/cln2,,,,,citizen_registry.csv,candidate
CMD Turkey,LAMA2,HGNC:6482,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CMT4B3 registry (Citizen Health),CMT4B3,,https://www.citizen.health/ai-advocate/cmt4b3,,,,,citizen_registry.csv,candidate
CMT4J registry (Citizen Health),CMT4J,,https://www.citizen.health/ai-advocate/cure-cmt4j,,,,,citizen_registry.csv,candidate
COL4A1 Foundation,COL4A1,HGNC:2202,https://gouldsyndromefoundation.org/,United States of America,foundation,,,everycure_rdnp.csv;sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
COMBINEDBrain,ADNP,HGNC:15766,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,CACNA1A,HGNC:1388,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,CHAMP1,HGNC:20311,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,FOXG1,HGNC:3811,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,GRIN2B,HGNC:4586,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,HNRNPH2,HGNC:5042,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,KIF1A,HGNC:888,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,NR2F1,HGNC:7975,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,SATB2,HGNC:21637,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,SCN2A,HGNC:10588,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,SCN8A,HGNC:10596,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,SETBP1,HGNC:15573,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,SLC6A1,HGNC:11042,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,STXBP1,HGNC:11444,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
COMBINEDBrain,SYNGAP1,HGNC:11497,https://combinedbrain.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
CRELD1 Warriors,CRELD1,HGNC:14630,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv;sources/ren_members/ren_members.csv,candidate
CSNK2A1 Foundation,CSNK2A1,HGNC:2457,,,,,,sources/ren_members/ren_members.csv,candidate
CSNK2A1 Foundation,CSNK2A1,HGNC:2457,https://www.csnk2a1foundation.org/,United States of America,foundation,,,everycure_rdnp.csv;sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CSNK2B Foundation,CSNK2B,HGNC:2460,https://csnk2bfoundation.org,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CSNK2B Foundation (Poirier-Bienvenu neurodevelopmental syndrome (POBINDS)),CSNK2B,HGNC:2460,,,,,,sources/ren_members/ren_members.csv,candidate
CSNK2B Neurodevelopmental Syndrome Foundation,CSNK2B,HGNC:2460,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CSNK2B registry (Citizen Health),CSNK2B,HGNC:2460,https://www.citizen.health/ai-advocate/csnk2b-foundation,,,,,citizen_registry.csv,candidate
CSS Network,ARID1B,HGNC:18040,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CTNNB1 Connect & Cure,CTNNB1,HGNC:2514,,,,,,sources/ren_members/ren_members.csv,candidate
CTNNB1 Syndrome Awareness Worldwide,CTNNB1,HGNC:2514,https://www.ctnnb1.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
CTNNB1 registry (Citizen Health),CTNNB1,HGNC:2514,https://www.citizen.health/ai-advocate/ctnnb1,,,,,citizen_registry.csv,candidate
CUL3 Support & Awareness Foundation,CUL3,HGNC:2553,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CUL3 Support and Awareness,CUL3,HGNC:2553,https://www.cul3.org,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CUL3C Support & Awareness,CUL3,HGNC:2553,,,,,,sources/ren_members/ren_members.csv,candidate
CURE Epilepsy,CHRNA4,HGNC:1958,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CURE SYNGAP1,SYNGAP1,HGNC:11497,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CYFIP2 Network,CYFIP2,HGNC:13760,,,,,,sources/ren_members/ren_members.csv,candidate
CYFIP2 Network,CYFIP2,HGNC:13760,https://www.cyfip2network.org/,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Care4ASH1L,ASH1L,HGNC:19088,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Channeling Hope,NALCN,HGNC:19082,https://www.channelinghope.org,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
"Channeling Hope [NALCN Channel  and associated proteins (UNC79, UNC80, FAM155)]",FAM155A,,,,,,,sources/ren_members/ren_members.csv,candidate
"Channeling Hope [NALCN Channel  and associated proteins (UNC79, UNC80, FAM155)]",NALCN,HGNC:19082,,,,,,sources/ren_members/ren_members.csv,candidate
"Channeling Hope [NALCN Channel  and associated proteins (UNC79, UNC80, FAM155)]",UNC79,HGNC:19966,,,,,,sources/ren_members/ren_members.csv,candidate
"Channeling Hope [NALCN Channel  and associated proteins (UNC79, UNC80, FAM155)]",UNC80,HGNC:26582,,,,,,sources/ren_members/ren_members.csv,candidate
Chelsea's Hope Lafora Children Research Fund,EPM2A,HGNC:3413,,,,,,sources/ren_members/ren_members.csv,candidate
Chelsea's Hope Lafora Children Research Fund,NHLRC1,HGNC:21576,,,,,,sources/ren_members/ren_members.csv,candidate
Cheyanna’s Champions 4 Children (CC4C),CC4C,,https://www.cc4c.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
Children’s Tumor Foundation,NF1,HGNC:7765,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
"Chopra-Amiel-Gordon Syndrome (CAGS) Foundation, Inc. (ANKRD17)",ANKRD17,HGNC:23575,,,,,,sources/ren_members/ren_members.csv,candidate
Christianson Syndrome Association,SLC9A6,HGNC:11079,https://www.csa-cares.org,US,foundation,,REN,rela_2019.csv,candidate
Christianson Syndrome Association,SLC9A6,HGNC:11079,https://www.csaresearchfoundation.org/,,foundation,REDCap,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Coalition to Cure CHD2,CHD2,HGNC:1917,,,,,,sources/ren_members/ren_members.csv,candidate
Coalition to Cure CHD2,CHD2,HGNC:1917,https://www.curechd2.org,,foundation,Citizen,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Coffin Siris Syndrome Facebook support group,SMARCA2,HGNC:11098,,,family group,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Coffin Siris Syndrome Facebook support group,SMARCB1,HGNC:11103,,,family group,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Coffin Siris Syndrome Facebook support group,SMARCC2,HGNC:11105,,,family group,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Coffin-Siris Syndrome Foundation,ARID1B,HGNC:18040,https://www.coffinsiris.org/,,foundation,Foundation-hosted,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Coffin-Siris Syndrome Foundation,SMARCC2,HGNC:11105,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
