# Epilepsy and NDD gene list, written by gene_spine.epilepsy_list after the spine
# build. Union of three branches:
#   epilepsy / both : on Genes4Epilepsy ('both' also on an NDD source)
#   ndd_only        : on an NDD or ID source, not on Genes4Epilepsy
#   epilepsy_other  : on an epilepsy panel, or ClinGen or Orphadata naming epilepsy,
#                     seizures or encephalopathy, and in neither branch above
# tier and domain are the spine's own values, carried as description, not selection.
# NDD/ID sources: panelapp_au_id, panelapp_ge_id, sysndd, g2p_dd, sfari.
# Declared but absent: none.
# SFARI: 2026-07-12 release, exported 2026-09-16. Its unscored rows count as presence and lift no tier.
# genes4epilepsy_phenotype is blank for genes that are not on Genes4Epilepsy.
# mondo_ids from sources/mondo/mondo.obo sha256 50c8367f9bd99783, 10,491 ORPHA and 10,176 OMIM xrefs.
# org_count and org_names come from epilepsy_orgs.csv, blank where there is no match.
hgnc_id,symbol,gene_name,list_membership,genes4epilepsy_phenotype,tier,domain,n_sources,sources,orphacodes,omim_id,mondo_ids,org_count,org_names
HGNC:555,AP1G1,adaptor related protein complex 1 subunit gamma 1,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,528084,603533,MONDO:0100038,0,
HGNC:564,AP2M1,adaptor related protein complex 2 subunit mu 1,both,DEE,T1,ndd_with_epilepsy,10,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,1942,601024,MONDO:0014633,0,
HGNC:567,AP3B2,adaptor related protein complex 3 subunit beta 2,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,442835,602166,MONDO:0018614,0,
HGNC:568,AP3D1,adaptor related protein complex 3 subunit delta 1,both,DEE,T2,ndd_with_epilepsy,5,clingen;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;sysndd,1000;54;664511,607246,MONDO:0010390;MONDO:0014885;MONDO:0021019,0,
HGNC:572,AP4B1,adaptor related protein complex 4 subunit beta 1,both,MCD,T1,ndd_with_epilepsy,8,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd,280763,607245,MONDO:0100176,3,Cure SPG50 Foundation; CureAP4 Foundation; Tom Wahlig Stiftung
HGNC:574,AP4M1,adaptor related protein complex 4 subunit mu 1,both,DEE,T1,ndd_with_epilepsy,7,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,280763,602296,MONDO:0100176,3,Cure SPG50 Foundation; CureAP4; Tom Wahlig Stiftung
HGNC:24036,APC2,APC regulator of Wnt signaling pathway 2,both,"DEE, MCD",T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,821,612034,MONDO:0019349,0,
HGNC:652,ARF1,ARF GTPase 1,both,MCD,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,98892,103180,MONDO:0020341,0,
HGNC:654,ARF3,ARF GTPase 3,both,DEE,T1,ndd_with_epilepsy,9,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,178469,103190,MONDO:0015802,0,
HGNC:15772,ARFGEF1,ARF guanine nucleotide exchange factor 1,both,DEE,T1,ndd_with_epilepsy,8,clingen;g2p_dd;genes4epilepsy;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,,604141,,0,
