source_id,symbol_in_source,hgnc_id_in_source,evidence,phenotype,extra,hgnc_id,resolved_by
panelapp_au_epilepsy,TMEM70,HGNC:26050,Amber,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2, MIM#614052","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:26050,id
panelapp_au_epilepsy,TMTC3,HGNC:26899,Green,"Lissencephaly 8, MIM#617255","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:26899,id
panelapp_au_epilepsy,TMX2,HGNC:30739,Green,Microcephaly; ID; brain malformations; seizures,"{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:30739,id
panelapp_au_epilepsy,TNK2,HGNC:19297,Amber,severe infantile onset epilepsy,"{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:19297,id
panelapp_au_epilepsy,TNPO2,HGNC:19998,Green,"Intellectual developmental disorder with hypotonia, impaired speech, and dysmorphic facies, MIM# 619556","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:19998,id
panelapp_au_epilepsy,TNRC6A,HGNC:11969,Red,"Epilepsy, familial adult myoclonic, 6 MIM#618074","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:11969,id
panelapp_au_epilepsy,TPK1,HGNC:17358,Green,Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type) MIM#614458,"{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:17358,id
panelapp_au_epilepsy,TPP1,HGNC:2073,Green,"Ceroid lipofuscinosis, neuronal, 2, MIM# 204500; MONDO:0008769","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:2073,id
panelapp_au_epilepsy,TRA2B,HGNC:10781,Green,"Ramond-Elliott neurodevelopmental syndrome, MIM# 621421","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:10781,id
panelapp_au_epilepsy,TRAF7,HGNC:20456,Green,"Cardiac, facial, and digital anomalies with developmental delay, MIM#618164","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:20456,id
panelapp_au_epilepsy,TRAK1,HGNC:29947,Green,"Developmental and epileptic encephalopathy 68, MIM# 618201","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:29947,id
panelapp_au_epilepsy,TRAPPC10,HGNC:11868,Green,"Neurodevelopmental disorder with microcephaly, short stature, and speech delay, MIM# 620027","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:11868,id
panelapp_au_epilepsy,TRAPPC12,HGNC:24284,Green,"Encephalopathy, progressive, early-onset, with brain atrophy and spasticity, MIM#617669","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:24284,id
panelapp_au_epilepsy,TRAPPC2L,HGNC:30887,Red,"Encephalopathy, progressive, early-onset, with episodic rhabdomyolysis, 618331","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:30887,id
panelapp_au_epilepsy,TRAPPC4,HGNC:19943,Green,"Neurodevelopmental disorder with epilepsy, spasticity, and brain atrophy, MIM# 618741","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:19943,id
panelapp_au_epilepsy,TRAPPC6B,HGNC:23066,Green,"Neurodevelopmental disorder with microcephaly, epilepsy, and brain atrophy, MIM# 617862","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:23066,id
panelapp_au_epilepsy,TREM2,HGNC:17761,Green,Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2 MIM#618193,"{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:17761,id
panelapp_au_epilepsy,TREX1,HGNC:12269,Green,"Aicardi-Goutieres syndrome 1, dominant and recessive; Chilblain lupus; {Systemic lupus erythematosus, susceptibility to}; Vasculopathy, retinal, with cerebral leukodystrophy","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12269,id
panelapp_au_epilepsy,TRIM8,HGNC:15579,Green,"Focal segmental glomerulosclerosis and neurodevelopmental syndrome, MIM# 619428; Intellectual disability; Seizures","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:15579,id
