name,group,condition_page_url,latest_report_url
SETD5,Gene,https://www.simonssearchlight.org/research/what-we-study/setd5/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115431/SETD5-25Q3.pdf
SLC6A1,Gene,https://www.simonssearchlight.org/research/what-we-study/slc6a1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115450/SLC6A1-25Q3.pdf
STXBP1,Gene,https://www.simonssearchlight.org/research/what-we-study/stxbp1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115440/STXBP1-25Q3.pdf
SYNGAP1,Gene,https://www.simonssearchlight.org/research/what-we-study/syngap1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115453/SYNGAP1-25Q3.pdf
TANC2,Gene,https://www.simonssearchlight.org/research/what-we-study/tanc2/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115444/TANC2-25Q3.pdf
TAOK1,Gene,https://www.simonssearchlight.org/research/what-we-study/taok1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115459/TAOK1-25Q3.pdf
TBR1,Gene,https://www.simonssearchlight.org/research/what-we-study/tbr1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115501/TBR1-25Q3.pdf
TLK2,Gene,https://www.simonssearchlight.org/research/what-we-study/tlk2/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115439/TLK2-25Q3.pdf
TRIO,Gene,https://www.simonssearchlight.org/research/what-we-study/trio/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115456/TRIO-25Q3.pdf
TRIP12,Gene,https://www.simonssearchlight.org/research/what-we-study/trip12/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115452/TRIP12-25Q3.pdf
WDFY3,Gene,https://www.simonssearchlight.org/research/what-we-study/wdfy3/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115350/WDFY3-25Q3.pdf
ZNF292,Gene,https://www.simonssearchlight.org/research/what-we-study/znf292/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115454/ZNF292-25Q3.pdf
